gender,message
male,Selling two shuttle passes from Luxor for cheap
female,Selling 2 mgm shuttle passes and 1 las vegas village shuttle pass message me if interested
male,"wristband$120 - 800 Degrees At Monte CarloSunday wristband. $120. Shuttle pass $30. Prefer to meet at front of Monte Carlo."
male,Where's all the goth raver chicks?!
male,Be sure to download Lyft from the app store and enter code EDCVEGAS2017 for large discounts on rides and  avoid crazy shuttle lines all while having the pleasure of arriving  with a fully charged phone!
male,"Vegas Village shuttle passes$20 - Sun City, CAHave 2 Las Vegas Village shuttle passes for $20 each if anybody wants them, we decided to drive today and have no need for them!"
male,Best buffet in Las Vegas!? I need all the energy I can for day 3!
female,"MGM shuttle pass$40 - Kansas City, MOSelling 2 MGM shuttle pass for 40$ or best offer"
male,"Selling Sunday VIP unregistered band at $160, pickup at Monte Carlo <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
female,"Looking for 2 Sunday passes, can meet up within one hour"
female,Premier parking pass for 40. Got back to my room in one hour last night
male,Have 1 sunday ticket unregistered. Pm me if interested
male,I got a Sunday ticket lmk
female,I'm selling a village shuttle pass $35 if anyone is interested
male,I have two premier shuttle passes that I don't need. 60 for both. Hmu
female,"Our plan has changed so we have to leave Vegas earlier :( :( :( Selling 2 cheap tickets for the 3rd-day admission and the shuttle bus (from Las Vegas festival Ground) The ticket is $120 per person The shuttle is $20 per person Please PM me if interested!!!"
female,Look for 2 shuttle passes or 1 premire parking pass
male,I'm looking for 2
male,Rave babe for today. Who's down to go all access and have a great time. Pm if interested
male,Needing one unregistered wristband. Message me
female,"(SOLD) EDC ticketsFREE - Green Bay, WISelling 2 EDC tickets & 2 Las Vegas Village Shuttle pass.  PM me if interested!  Staying at Excalibur."
male,"Tickets for CIRQUE DU SOLEIL O , selling for tonight. Contact for good discounthttps://www.facebook.com/groups/633035876886189/"
female,Good morning <ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+009B> I'm looking to buy 2-4 Sunday wristbands and can pick up with cash in hand anywhere in Vegas at around 1 pm. Let me know
male,Day 3 is here had so many great memories  allready so sad the end is near.
male,If you've got nothing going on today Gabberfest with 40 DJs is going down at the Hard hat Lounge on industrial and New York near the strip. $7 buys your first drink and gets you in. Show is until 8pm. Inside and outside must be 21+
male,Anyone in Tropicana wanna grab lunch together ?
female,I'm looking for 2 Edc tickets
male,Selling one edc sunday ticket
female,"(SOLD) unregistered$100 - Madison, WISelling 4 unregistered. $100 each. Message me."
male,Leaving Vegas to LA in one hour. Providing rides for gas money!!! <ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8> (4 seats available)
male,Who's that female?  <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>
male,"Two Premier shuttle passes for sale. After all of the craziness with the shuttles, we have managed to make it there and back with ease. Send me a message if interested. We are staying at the Mirage."
male,"Super Towing LLC  CPCN 7363702 685 6573 702 332 3021"
female,Looking for 2 Sunday tickets
male,Need a wristband. Can pick up in about an hour. Lmk soon
female,"EDC was such an amazing experience! Was so looking forward to going to day 3 :'( Now my husband is going solo and I'm selling my VIP wristband because my mom can't watch our kids anymore. Best offer takes it! (Staying at The Mirage, I will have you meet at my room so that you know it's not a bogus sale)"
female,Need a ticket
female,Hey Guys! Looking for 2 passes for today <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>
male,"Good morning fellow EDC attenders!!! This is my first time at EDC and Las Vegas at that! I seemed to have lost my phone:(SAMSUNG GALAXY S4 WITH BLACK FRONT & WHITE BACK) To be honest, if someone were to try to steal it--it's an S4 with a very severe black screen issue--I'd freaking give it to you if you needed an outdated phone that badly. I simply want some of the memories that I was able to capture on my phone. And there are still fond memories even before EDC that I still have on there.If someone happens to see this post and they found the phone, PLEASE turn it into the lost & found. Thank you guys so much for taking the time to read through! I love all you guys, you're such great energies! Enjoy tonight, and the rest of your lives!!! <3 <3 <3"
male,"Two wristbands available. $100 each. One can go on a big wrist, the other needs to be for a girl with a small wrist. They are unregistered"
female,"MGM grand shuttle pass$25 - Federal Way, WASelling 2 MGM grand shuttle pass 25 each one ."
male,"3 Sunday wristbands$260 - Valley Center, CA3 Sunday wristbands for sale. Meet at my hotel and I will drive all of use to the venue so we can all walk in together. To avoid traffic if interested be ready to leave at 5pm Sharp Pm if interested $260each"
female,"Peace, Love, Unity, Respect!Share the love! <ed><U+00A0><U+00BE><ed><U+00B4><U+0097>"
male,Selling my sunday edc pass let me know if your intrested :)
male,Anyone have a LINQ shuttle pass for sale
female,"sunday pass$100 - Las Vegas StripSelling 1 Sunday pass for $100Gotta come pick it up from me"
male,Selling my day 3 pass for 160 and shuttle bus for 60 lmk if interested  meet up at vdara hotel
male,"if you missed delta heavy at kalliope last night, you. fucked. up."
female,"One Sunday ticket$150 - Sacramento, CAOne Sunday ticket for sale. $150"
female,I need a Sunday ticket
female,Looking for a pass for tonight. Who's selling and how much?  Thanks <ed><U+00A0><U+00BC><ed><U+00BC><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+0088><ed><U+00A0><U+00BC><ed><U+00BE><U+00A1><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>
male,Looking for a rave babe for tonight. Who would like to go all access pm if interested
female,Selling my Sunday pass for 125! If anyone interested let me know!!!!
male,"HEADS UP GUYS! at the Linq shuttle drop off back at the strip there are several undercover cops ""selling"" drugs. Someone was getting arrested also on the side"
male,do i even want to ask how the village shuttle was last night loool
male,I'm looking for one Sunday ticket and shuttle from Las Vegas village.
male,How do u get this shit  wrist band off security tighten it up on me trying to sell it
male,Free Rider Credit From Lyft!  New Riders Only!
female,"looking for a sunday pass, had someone that could sell it to me but they ended up giving it to someone else soooo help me <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+0085>"
female,"<ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>Day 3!<ed><U+00A0><U+00BD><ed><U+00B6><U+00A4> Sunday Passes<ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>$240 - EDC Kinetic Field Las Vegas Motorspeedway"
female,"Looking for 2 Sunday bands. No shuttle passes I trust you guys when you say it's terrible. Message me plz. Cash in hand."
male,Our group still has extra unregistered GA and VIP tickets. Make me an offer <ed><U+00A0><U+00BD><ed><U+00B9><U+0082>
male,Does anyone know do ubers get to use the route that the shuttle buses take when leaving the speedway? Like the nellis route
female,I NEED ONE SUNDAY TICKET WITH LV FESTIVAL GROUNDS SHUTTLE!
male,I am in search for 1edc Sunday wristband hit me up with price cash on hand
female,"One Sunday pass available now3 shuttle pass available nowPick in Aria before 12"
female,Brazil confirmed
male,2 village shuttle passes. Best offer takes it.
female,Village shuttle pass 20$
male,Making memories
female,Best way to loosen the wristband? Literally just caught my dog trying to eat mine and he has it pulled all the way closed <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B0><U+00B6>
male,"Did any one take Uber or Lyft to speedway? If so, how much does it cost"
male,"EDC needs serious work on return shuttles.  We had to walkOver a mile to get to our shuttle.Fast lane working better but shuttles still need fine tuning!!!"
male,Got a shuttle pass at the LINQ for sale.
male,"Linq shuttle pass$20Selling 2 Linq shuttle pass for $20/each! No longer going on Sunday. Free if no offers! Must pick up before 7 am at Linq hotel."
female,"GA wristband$150 - Romulus, MISelling GA wristband for Sunday and Las Vegas Village Shuttle Pass. You can have box too that has stuff that wasn't used. $150 Pick up @ Flamingo hotel Cash only"
female,One gold and one GA for tomorrow!!! Fully working no problems!!' Pm for offers over $200 total!!
male,"Needing 3 tickets for Sunday edc , staying at the Venetian"
male,anyone selling edc sunday ticket?
male,Just got to Vegas! I got cash in hand and am willing to meet up to buy a ticket for Sunday. I will not buy if you are at all sketch.
female,Lmaooo <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0086>
female,"Selling one SUNDAY EDC pass. $140, requires deposit, can meet anywhere on strip."
female,"edc tickets$300Selling 5 edc tickets $300 each obo!! Lmk"
male,Looking to buy 2 #EDC wristbands tonight (#Sat/#Sun wristband). I'm looking to purchase 2 of them for around $200 each (max I'm paying)... I live in #LasVegas and have transportation to meet you <ed><U+00A0><U+00BD><ed><U+00BA><U+0097> (within 20 mins). let me know if available? I can wait <ed><U+00A0><U+00BD><ed><U+00B8><U+008F><ed><U+00A0><U+00BD><ed><U+00B8><U+0089> #DM me. #Vegas #LasVegas #ElectricDaisyCarnival <ed><U+00A0><U+00BD><ed><U+00B4><U+00AE><U+2728><ed><U+00A0><U+00BD><ed><U+00B2><U+00AB>
male,Aye got cash in hand for a Sunday ticket! Dude flaked on me! Vegas local can meet
male,"We went last night and will go again tonight but don't think we will make it to the third. So we are selling two Sunday tickets for $120 each or near offer. Message me if you're interested!EDIT: I've had a lot of traffic with this post so HMU with your best offer. Otherwise I have a list of people who want it at this price."
male,need a ride to edc tonight or tomorrow morning for edc
male,Current situation for the shuttle....FML
female,Driving down to Vegas from LA soon! Don't wanna drive alone and willing to pick you up if you're close to me!!(: dm me!!
female,Looking for 1 Sunday pass; anyone have one to sell? Let me know! Thanks everyone <U+2764><U+FE0F>
male,Selling two Sunday ticket
male,Looking up 3 ticket for Sunday.
female,Need Sunday ticket !!!
male,Is anyone at Las Vegas village shuttle yet? If ts as bad as yesterday I don't want to waste my time walking there would rather Uber if it's that bad again please let me know
male,Looking for 2 tickets for today (Sat).
male,"Looking for 2 EDC GA TIX, I have cash and I'm in vegas"
male,"VIP bands$400I have 2 unregistered VIP bands at ($400 each) and 1 GA unregistered band with box (at $350). Pick up in the next hour at Caesars Palace!"
female,Anyone selling 3 Saturday tickets?
female,Has anyone flown in to edc via helicopter <ed><U+00A0><U+00BD><ed><U+00BA><U+0081>
female,need 2 ga tickits for saturday and sunday asap dm me and let me know what you have please
female,"Sunday edc ticket$130 - San Gabriel, CA1 Sunday edc ticket for $130. DM please"
male,How are the shuttle buses looking at this time everyone? Can someone plz update.
female,Need two sunday tickets!!
male,How are the linq shuttles going?
female,Amybody going to hakassan tonight?
female,"<ed><U+00A0><U+00BD><ed><U+00BA><U+00A8>#AttentonShuttleBusWaiters<ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> <ed><U+00A0><U+00BD><ed><U+00BA><U+008C>   LOL <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Bc yall aint riding yall are  Waiting in extremely long lines   Get you a #LYFT & Just ROL #RideOutLoud  TEAM UP WITH A FEW OTHER PEOPLEPACK THE CAR <ed><U+00A0><U+00BC><ed><U+00B6><U+0099>  like sardines<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> SPLIT THE BILL  AND GET TO DAY 2    BEFORE IS OVER"
male,Looking for 2 Sat tickets or Sat & Sun Tickets!!!!!!!!!!!!!
male,https://www.facebook.com/events/2203139419911655/?acontext=%7B%22ref%22%3A%22106%22%2C%22action_history%22%3A%22null%22%7D
male,Anyone in LV selling their EDC Wristband(s) for tonight and Sunday!?!?  <3
female,"Wtf!! What happened to Paul Oakenfold?!?!"
male,Slowly but surely getting there. If you see us dont be shy and come say hi.
male,Night 2 let's get it ladies and gentlemen <ed><U+00A0><U+00BE><ed><U+00B4><U+0098>
male,Anyone need a 420 lift or other product ? Pm
female,"Found this iPhone yesterday, if this is yours message me, I will give it to the lost & found tonight"
female,~ How's traffic right now?
female,"So i lost my pass and have to take uber tonight to go. My friends are going to split the drive with me so we are now selling 3 mgm shuttle passes. Will be $30 each or $90 all together obo. We are leaving at 6 tonight so will be meet up asap if anyone interested"
male,Looking for a Saturday ticket
female,Looking for a Sunday las vegas village shuttle pass
male,Looking for a couple Sunday tickets. Inbox plsssss <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BE><ed><U+00B4><U+0098><U+270C><U+FE0F><U+2764><U+FE0F>
male,"STEVE AOKI tonight @ HAKKASAN nightclub.IRIE AND THE BALLING STATE CHAMPS @ JEWEL NIGHTCLUBMARTIN GARRIX at OMNIA nightclub!Free entry on my guestlist for guys and girls.HMU @ 702-524-9232 or pm me before 8pm for reservations Jerry Ngo PROMOTIONS MANAGER @ HakkasanGroup  Instagram: JERRYNGO_VIPLASVEGAS     HAKKASAN l OMNIA l JEWEL l WET REPUBLIC ULTRA POOL l"
female,I have one shuttle ticket from downtown for sale.
female,Selling a unregistered new weekend GA for Saturday and Sunday - $300. Can meet at the strip this afternoon. Dm me.
female,I have 1 GA pass with downtown shuttle for sale.
male,I'm selling 1 Las Vegas Festival shuttle pass message me if interested
male,I have one village lot shuttle pass for sale. HMU
female,"This is my first EDC and I want to explore Vegas a little before tonight. If anyone wants to go explore with me I have 2 free seats, good vibes, good music and some of that devil's lettuce <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081> HMU if you want to join! Let's form a tiny rave fam <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B2><U+00A3><ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> If the seats fill up I will delete the post! Have a wonderful day!!!<U+2764>"
male,I need 2 wristbands for the remaining days. Helpppppppp
male,"Looking to buy 2 #EDC wristbands tonight (#Sat/#Sun). I'm looking to purchase 2 of them for around $200 each... I know they usually sell a little more but I don't plan on going till later tonight so if you can't sell your wristbands still, I'm here waiting to buy still... I live in #LasVegas and have transportation to meet you <ed><U+00A0><U+00BD><ed><U+00BA><U+0097>. let me know if available? I can wait <ed><U+00A0><U+00BD><ed><U+00B8><U+008F><ed><U+00A0><U+00BD><ed><U+00B8><U+0089> #DM me. #Vegas #LasVegas #ElectricDaisyCarnival <ed><U+00A0><U+00BD><ed><U+00B4><U+00AE><U+2728><ed><U+00A0><U+00BD><ed><U+00B2><U+00AB>"
female,I'm selling one wristband!!! if you're interested !!
female,Looking for two 2-day wristbands!
female,Does anyone have eyelash glue they're bringing in ? Lol real question
male,"Sunday tickets with shuttle$250Sunday tickets with shuttle from downtown pass. $250 obo"
female,Insomnia needs to get there uber situation in check. Only 1 lane for ubers to come in and pick people up serioisly?.. legit waited 1 hour for an uber driver that was 1 min away.
male,Looking for 3 Sunday tickets <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>
male,Looking for 2 shuttle passes! Pls msg me <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>
male,anyone in vegas selling edc tickets for sat and sunday? need 4..can meet up anywhere.
male,"Need two wristband for sat, who's got any"
male,"Looking for a Sunday GA pass, will meet up with you in Vegas anywhere! Hit me up!"
female,Looking for two 2-day wristbands!
female,Selling two Sunday edc tickets...
female,Anyone selling a shuttle pass?
male,Looking for Sat ticket
female,Looking for 2 passes.
male,How long did it take you to get in last night? After drop off...
female,"Parking sucks,I saw so many traffic control people who weren't directing the heavy traffic.."
male,Pm me
male,So whats up with the pregame spot?!!? who tryna blaze n grab a drink?!
male,"Looking to buy 2 #EDC wristbands tonight (#Saturday). I'm looking to purchase 2 of them for around $200 each... I know they usually sell a little more but I don't plan on going till later tonight so if you can't sell your wristbands still, I'm here waiting to buy still... I live in #LasVegas and have transportation to meet you <ed><U+00A0><U+00BD><ed><U+00BA><U+0097>. let me know if available? I can wait <ed><U+00A0><U+00BD><ed><U+00B8><U+008F><ed><U+00A0><U+00BD><ed><U+00B8><U+0089> #DM me. #Vegas #LasVegas #ElectricDaisyCarnival <ed><U+00A0><U+00BD><ed><U+00B4><U+00AE><U+2728><ed><U+00A0><U+00BD><ed><U+00B2><U+00AB>"
female,2 two day shuttle passes at Village and 1 two day passes at MGM for sale. Can meet at MGM. $25 each! PM me
male,Anyone selling passes for tonight? Got two people wanting them.
female,"I need one ticket of the Linq Shuttle Pass, anyone?"
female,Anyone have a shuttle pass?
female,Need Sat/Sun band and shuttle pass! Lmk asap!
male,Lyft and Uber will be expensive both tonight and tomorrow night. Get your linq passes now. I have 2; $85 each or two for $150.
female,"I am looking to buy a Sunday EDC ticket.I can meet you on the Strip or Downtown Sunday morning or afternoon. Message me your lowest asking price.Thanks!"
female,I need 3 wristbands for the remaining days. Help a bish out
male,want to buy around 5-10 sunday EDC tickets
male,My brother from another mother.
male,When that one person closes the gaps and emptiness in yourself..... the feeling is unexplainable!!
female,"shuttle$85 - Charleston, SCI've got 2 sold out shuttle passes for the linq asking $85 each or $150 for both."
male,"Need a ticket for tonight. Could return t for Sunday. Willing to pay $300. Text 6186108275"
female,"Looking to sell my GA bracelet for tonight and meet back up for it tomorrow so I can go Sunday. Located at Marriott Grand Chateau behind Planet Hollywood.Message me with your best offer. Cash only, can prove the wristband is registered in person."
male,"Looking nice for a Saturday ticket. Can return it for Sunday. Text. 6186108275. I'm in the air right now. Land at 5"
male,Who's coming to OMNIA for AXWELL N INGROSSO tonight for FREE on my guest list? Comment or DM me now
female,Need 2 3-day passes! Will also consider Sat/Sun passes HMU
male,Leaving tonight selling wristband and linq shuttle pass 275!
male,Anybody know what the fuck is goin on wit the Las Vegas village shuttle that shit was a nightmare yesterday
male,Fuck the traffic situation last night
male,First in line!   Day 2 EDC.
male,Looking for saturday and Sunday wristband
female,First in line for the shuttle. Hell yeah !!
male,Looking for two Saturday tickets.
male,anyone in vegas selling edc tickets for sat and sunday? need 4. can meet up anywhere in vegas.
female,"GA$150 - Vancouver, British ColumbiaSelling 2 GA Sunday edc wristband for 150 each. Pick up at mirage! Fb message me thanks :)"
female,Selling MGM shuttle pass
female,"EDC Sunday Passes$150 - Vancouver, British ColumbiaTwo EDC Sunday Passes for sale! Meet at or around Mirage Sunday afternoon. Asking for $160 each or $300 for both. Thanks! :)"
female,"Linq shuttle passes$100 - Vancouver, British ColumbiaHi! I have 2 Linq shuttle passes for Sat and Sun. Asking $100 for both or $60 each if you want to just buy one. Meet at or around Mirage anytime from now to 7pm! Thanks :)"
female,Can i bring in makeup?? Also extra shirts? We are getting married at 415am our white shirts probably wont be so white by that time. Lol
male,"Villiage passes$50 - Alexandria, VAGot 2 Villiage passes for Sat and Sun. Pick up at Linq. $50 each"
female,"parking pass$60 - Santa Ana, CASelling parking pass $60 for the rest of the weekend."
female,Looking for a Sunday pass unregistered for less than $130! Dm me!(:
female,Hungry !!! Any place you guys recommend to eat in the strip? <ed><U+00A0><U+00BD><ed><U+00B8><U+008B>
female,"Selling shuttle pass (festival grounds) $50. Msg me I will be at EDC today, can meet there. Signal is sketchy so may take time to get back to you.."
female,"Two village lot shuttle passes$40 - Spring Valley, Nevada"
male,So who the fuck is ready for day 2?! <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
female,"parking pass$60 - Santa Ana, CASelling parking pass $60 for the rest of the weekend."
male,looking for 1 saturday & sunday pass
female,Selling my Sunday ticket and Lync shuttle pass. Message me know if you are interested. 200 OBO.
male,Two Village shuttle passes. 50 each but if you buy both it's 40 each. Meet at Caesars Palace.
female,did anyone take the free park and ride shuttle last night? Wanna see if it'd be better then driving in
male,"I know this is a long shot, but i lost my  MGMshuttle pass last night. Is there any chance anyone saw it and picked it up? My friend got sick so i was trying to help her to the Med tent, i probably dropped it and some other stuffs somewhere between the Circus ground and the Med tent. I didn't get to enjoy anything last night, so hopefully tonight will be better...only if i can find my shuttle pass to get there :(. Thank you very much if you can return it. And also for the very sweet couples helped me carrying my friend last night. You guys were heroes to me for going out of the way and helping us!"
female,"Selling an unregistered edc ticket for Saturday & Sunday I'm also selling an MGM shuttle pass"
male,"Calvin harris tonight @ HAKKASAN nightclub.GTA @ JEWEL NIGHTCLUBAXWELL & Ingrisso at OMNIA nightclub!Limited entry on my guestlist for guys and girls.HMU @ 702-524-9232 or pm me before 8pm for reservations Jerry Ngo PROMOTIONS MANAGER @ HakkasanGroup  Instagram: JERRYNGO_VIPLASVEGAS     HAKKASAN l OMNIA l JEWEL l WET REPUBLIC ULTRA POOL l"
female,"REHAB BEACH CLUB | AUDIOTISTIC POOL PARTY FEATURING K?D, MADEON, SEVEN LIONS, & TRIPPY TURTLESunday, June 18, 2017 @ 11:00AMWe have a day bed starting around 11$30 a head for 2 drinks or a bucket!Trying to save everyone some cash and have fun!!!!!!!!!PM me"
female,When ever u leave edc before the dj you wanted to see play <ed><U+00A0><U+00BD><ed><U+00B8><U+00A5><ed><U+00A0><U+00BD><ed><U+00B8><U+00B0> this is not what I had planned!!!!! Hopefully tomorrow is a better day and my roommates don't want to leave early
female,Can someone please tell me where the taxi drop off is? Is it the same as shuttle bus?
male,Looking for a sat and Sunday pass
male,Selling 1 Las Vegas Festival Shuttle Pass.... message me or comment if interested.
male,Traffics a bitch ...... does vegas have real lanes or just a lot of idiots going who can't stay in them ?
female,"Chain smokers at ebc june 18th$50 - Encore Beach Club"
male,I got 5 3 day passes for edc with shuttle passes from the village. 250 for single ticket and shuttle pass or 1000 takes it all. obo
female,~ Want to know if there is any way I can sell two wristbands for tonight but have it back to go tomorrow night without getting scammed and ensure I get my wristband back for tomorrow? TIA =)
female,"Saturday wristbands$150 - Arlington, TXSelling 2 Saturday wristbands $150 each"
female,"EDC SAT & Sunday$320 - Santa Ana, CASelling 2 EDC SAT & Sunday with premier parking $320 each .... 714-837-4332"
female,I have a edc pass for tonight and tomorrow for $285 with shuttle pass from village (Luxor) message me!!!
male,ATTENTION: Anyone who's not going to EDC TONIGHT that would like to come to OMNIA nightclub to see AXWELL ^ INGROSSO for FREE comment or DM me now!!
female,"Selling Sunday EDC ticket OBOLas Vegas village shuttleCan meet in Aria before Sunday 12 pm"
female,Just got to Vegas <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>
male,2 day VIP pass $400. Meet at Cosmo
male,"Las Vegas local looking to purchase  (2) Sunday tickets. Can meet anytime, anywhere with cash or via paypal! PM me if selling <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008C>"
female,Have 1 Sunday wrist band and Linq Shuttle for $200 meet at Flamingo Hotel.
female,Still iSO ticket for tonight/Sun!!!
male,Download Lyft and input this code under promos to get cheap rides and avoid crazy shuttle lines!
female,Anyone have 2 tickets for today and tomorrow for sale ??
female,What you doing today. Me just this!!!!!!!
male,I need 3 Edc tickets for tonight only??? Who got the deals hmu ASAP
female,Anyone willing to trade a Linq shuttle pass for a village lot shuttle pass for sunday?!
female,Anyone selling EDC ticket
male,"Sat$300 - Excalibur Hotel CasinoSat and sun EDC must meet up at Excalibur hotel $300 PayPal only pm me serious inquiries please"
female,Need 6 tickets for tonight (Saturday only) plz pm
female,Anyone selling EDC ticket
male,"Looking for 1 Saturday / Sunday ticket. I have 240, I can pick up right now. I'm staying at the Excalibur."
female,For Sale: Electric Daisy Carnival (EDC) VIP Saturday & Sunday Wristband. HMU. 858-848-7587
female,Selling an MGM grand shuttle pass
male,"Wristband for Saturday and Sunday.HMU if interested."
male,"Sapphire Pool & Day ClubText 702-900-8454"
female,How did u get to day one and how was that experience? I dont want to drive today. Ones who uber'D how much was it there and or back?
male,We have 2 GA for Saturday & Sunday if anyone needs them
male,My parents are selling their wristbands tomorrow. They leave tomorrow afternoon. HMU for details. There's 2 bands and they're both unregistered
female,Desperately looking for a Sunday wristband! Help me out !!
female,Selling two Saturday and Sunday tickets for sell msg me for info.
female,"shuttle pass$60 - Concord, CAHave 1 shuttle pass from Las Vegas Festival Lot near circus circus. Roundtrip sat and Sunday $60 OBO. First to pick up gets it. Leaving back home today asap."
female,"If you were partying up front for Will Sparks with me last night, send me a message tried adding on snapchat before I left the stage but it didn't work! Booooo for dodgy snapchat! Hope everyone had a killer first night <ed><U+00A0><U+00BD><ed><U+00B8><U+0085>"
male,Lit
female,"I need ticket for Saturday and Sunday, shuttle pass would be a plus too!"
male,What is the best time to leave to edc ? 3 pm?
male,NEED SATURDAY PASS (2 PREFERABLY)!!!!!!! Anyone?????
female,"My friend and I got into Vegas at 6pm and are on bus still trying to get in. We are from New Zealand and didn't expect anything this insane. Feeling sorry for ourselves, we are wondering if anyone wants to meet up tomorrow before heading in? Would love to improve this sad start to EDC."
female,Selling sat and sun tickets
male,Anybody else saw these guys getting lit lol
female,I have 3  SUNDAY only wrist bands and 3 Festival shuttle passes. All for $375.00
male,"mgm shuttle$200Selling a sunday wristband and mgm shuttle pass for $200 hit me up if interested."
female,Looking for 6 wristbands for today
female,Lost wallet. If found please message me. I need my ID to fly back. I don't care about the cash in it. Thanks.
male,Who has a test kit?
female,"Looking for Saturday ticket,  asap"
male,basspod was the tits ln. big ups fellow headbangers
male,Selling two Premier Shuttle passes for tonight and tomorrow. I'm staying at the Mirage. Message me for details.
female,Need tickets for tonight and tomorrow!! Message me asap!!
male,"Hi! I am a Las Vegas Local, looking for (2) EDC Passes for tonight (Saturday) only."
female,Looking for Saturday ticket
female,Looking for 2 Saturday/Sunday passes!! Pls message me. <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>
male,Some of yall be like
female,need a 2 day ticket ga. ??? anyone?
male,Anyone selling a Sunday ticket and willing to let it go for $80-$100 please hmu! I'm in Vegas also so hopefully that makes it easier!
male,Selling 1 edc Sunday ticket
female,Anyone know where will call is for the village shuttle busses?
female,The amount of trash people threw on the ground yesterday made me so sad. Please treat EDC with the respect it deserves! Keep it beautiful!!
male,I need one GA ticket and one MGM shuttle pass for Sat/Sun hit me up! Will meet up with you in Vegas.
male,Anyone want to trade a Linq Shuttle Pass or Las Vegas Village Lot for tomorrow?
male,"tickets$400I still have a couple brand new, unregistered GA tickets with box at $400. Selling first come , first served at the Monte Carlo <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
male,"Is anyone who is not going to Day 3 willing to sell me a shuttle pass on Sunday? LINQ would be ideal, but I'm open for any shuttle."
female,Did anyone by any chance uber or taxi HOME from the show?? Wondering if it's worth escaping the miserable shuttle lines tomorrow...
male,I need 2 GA 3 day passes. Cash in hand
male,hunting for an edc ticket still! can meet on strip or hotel where ever!
male,"edc tickets and shuttle passes$200 - St Paul, MNSelling two edc tickets and shuttle passes from Luxor for tonight Sat. June 17 and Sun. June 18. $200 each. Message me for details."
female,"GA EDC & shuttle$300 - Concord, CASelling one GA for $300 or 2 for $500. If you need shuttle passes too, I have 2 shuttle passes departing near circus circus 1 for $60 or 2 for $100. Roundtrip for sat and sun."
female,Looking for a sat/sun wristband.  And shuttle if av. I'm at the circus circus rn!
female,I left candy in the girls bathrooms all over the place last night!! To flipping hot had to! Hope you lovely lady's found them!! Their from b.c Canada!! Xoxoxo Plur!! Love you all!!
male,I have a couple GA wristbands with boxes if anyone needs one
male,Hey guys whats the app that ive been seeing? The one where you cam message thru bluetooth and dont need a signal to use
male,Saturday & sunday VIP edc ticket $500
female,Need 2 Saturday/Sunday bands please!! Cash in hand
male,1 male ticket to tiesto pool party today at wet republic mgm. $100 firm. i paid 125 plus fees. am staying at excalibur. cant go anymore.
male,"2 - Village Lot passes$50 - Clermont, FL2 - Village Lot passes$50 for both"
female,Looking for 2 Saturday/Sunday wristbands. Message me!
male,"Band$200 - Lucerne, CAFor  Sale: EDC Band for day 2 and 3. My sister didn't like EDC and doesn't want to come back. :/ $200 OBO Can meet in Vegas tomorrow morning/afternoon."
female,How many of u will fit this on a few hours?
male,Anyone know of another way to get the Wristbands off other than the straw trick ? I've been trying all morning with no luck
male,I have one ticket for sale
male,Got the tree for you guys !! Pm me
